frame,particle,x,y
0,0,360.40307134846,410.2344060046588
1,0,359.61899827288426,405.70699481865284
2,0,359.27699168167396,402.754652259669
3,0,360.01067303863005,400.1338112305854
4,0,361.60825358851673,397.32655502392345
5,0,357.7854834700472,395.8460518684232
6,0,357.86823176033516,391.8921033910363
7,0,356.45747578692493,388.4698093220339
8,0,354.7115458676731,382.0982823692521
9,0,355.60756986204456,376.74984082065794
10,0,354.39174364896076,370.2022228637413
11,0,356.73240058910164,368.82245949926363
12,0,357.51465004656495,366.511569596676
13,0,355.9878695431103,363.8563230914506
14,0,355.697210864486,361.3696699766355
15,0,356.75649117773634,359.78489456319033
16,0,356.72848909016056,355.6132153149444
17,0,354.30007336757154,353.1645434536117
18,0,351.29532537652744,352.28495311167944
19,0,349.50581480936256,349.68916531723835
20,0,350.10762641613707,346.75283227410887
21,0,350.78974155595216,344.90766078392494
22,0,353.562253843222,338.3966459153856
23,0,353.6118429896491,333.9583277322221
24,0,353.116823014384,330.21350844277674
25,0,350.10985703536494,327.9921335248649
26,0,350.3015369430344,326.27241962774957
27,0,349.6235770789118,324.7576693034922
28,0,348.1648869138423,319.6633282483253
29,0,348.4264616629577,316.77854204599095
30,0,350.14943738895835,313.68520102651837
31,0,349.73052354297005,310.7759631215015
32,0,350.34213700717413,308.994603517237
33,0,353.7023484798084,303.88164460115763
34,0,354.02945849331394,302.5438236462333
35,0,356.2479535736103,301.6166768478925
36,0,354.06808561378404,296.82829547487034
37,0,352.7892444392822,286.77588710145767
38,0,351.4068209500609,282.72325149048015
39,0,348.9535114905561,279.16162797497225
40,0,348.77894467213116,277.40733862704917
41,0,348.08905755850725,277.7504743833017
42,0,348.1533329056265,276.43760826329634
43,0,347.2000747244536,274.0592813998381
44,0,347.680202411445,273.2839382770038
45,0,348.8870597005653,268.62682487420017
46,0,348.08782780801585,264.21047748639285
47,0,349.6721610643433,261.7720609878142
48,0,349.630706921944,258.55148502700047
49,0,348.2096942502348,254.8160805593238
50,0,348.3591186684229,251.6441743503772
51,0,348.2624588622473,248.50575928537847
52,0,347.01623185300264,245.24267423796005
53,0,345.76339285714283,242.7886711502783
54,0,344.4135064619865,241.38219768217948
55,0,342.28477652834067,239.81637079741995
56,0,342.52683941318645,238.9687482434939
57,0,345.45317836289524,236.12250743637765
58,0,347.6754460492778,233.53186066270177
59,0,346.44929000059415,233.20604836313944
60,0,346.20532829360485,232.28122904346765
61,0,346.4060190703218,231.34970202622168
62,0,346.73690607734807,230.93099447513814
63,0,348.59172105805567,228.9471544715447
64,0,345.6576486502382,225.84908545550786
65,0,344.7998017261488,222.33840681128996
66,0,341.95804888791014,218.20832415767453
67,0,340.4762246644944,217.11912520019882
68,0,337.44893544347036,214.95679152909028
69,0,338.58134440216764,212.90816326530611
70,0,337.80322824130525,210.8944434767462
71,0,333.77246304600567,209.12052261529092
72,0,333.8097744777525,207.7406217099795
73,0,333.5030760626398,207.6362975391499
74,0,334.1008734372324,206.55757264371752
75,0,336.4556150361786,204.75786810988882
76,0,336.75654494860584,201.42364699869384
77,0,336.0576563084987,198.27020377600684
78,0,335.4244437064098,195.17059670098527
79,0,337.8360465116279,191.8289534883721
80,0,336.9781896854169,191.48169804701206
81,0,338.35289957567187,188.6952414629218
82,0,338.4222822258746,184.8395163183846
83,0,338.1047573568913,183.0520503790366
84,0,338.6867113445632,180.09859325001509
85,0,338.43554629353974,178.0629353974397
86,0,338.38730644236284,175.87580449882114
87,0,338.2187877741323,172.26167040810452
88,0,338.7249392561211,169.63341847859945
89,0,337.82222356641665,170.56079119283814
90,0,339.88009996875974,167.49259606373008
91,0,339.6835535006605,164.3407529722589
92,0,340.8510991565385,160.68300458258616
93,0,341.0834516805302,160.06160816933794
94,0,339.21780198565915,158.85700496414782
95,0,337.4824824172962,160.32697317009638
96,0,338.9033337542619,155.24409647682788
97,0,339.586580820061,150.5404947475432
98,0,339.13924734815214,145.203702452537
99,0,337.7443315665489,140.36182273262662
100,0,341.5145523217063,136.1438198918759
101,0,345.18477417352165,134.8641160949868
102,0,343.2177388656262,129.92143129044538
103,0,341.45390657296406,126.62976436544027
104,0,337.26209322779243,121.12800831534341
105,0,337.50858754165597,117.86772622404511
106,0,337.72842273819055,119.31232986389111
107,0,340.85385878489325,117.50712989369977
108,0,341.54955570745045,116.5240943267259
109,0,347.16227801592163,113.11888723646226
110,0,349.3345362684951,108.08787441356911
111,0,350.65452130183127,105.04279343391214
112,0,349.5692529512481,103.8762728665405
113,0,346.02222222222224,99.90746965452848
114,0,343.9238315594632,98.58010180472004
115,0,343.4629215667217,95.1407328214598
116,0,342.40546026590886,90.99797016137217
117,0,345.8047331418952,89.11139716803643
118,0,346.2032790084903,86.22025958817215
120,0,351.81783111873125,78.4704243463352
121,0,352.1339227949105,78.66853569117964
122,0,354.9058847864309,77.46861102492502
123,0,354.0929971988796,78.28347338935575
126,0,355.8591171617162,74.89511138613861
150,3,340.16118311731475,81.71119973413094
151,3,341.7282321899736,82.56770448548812
152,3,340.72463331324093,84.90164757886276
153,3,340.112814393244,92.08738755278135
154,3,338.453227504657,99.24904835182636
155,3,335.3051305891303,103.76333361507903
156,3,336.95995404562615,107.45593303791236
157,3,337.28510600549987,110.76740885301162
158,3,338.2354136675417,112.46642391396392
159,3,338.5425401745656,117.28411779101069
160,3,337.1295887498978,122.67418853732319
161,3,335.7386381631037,121.95296912114014
162,3,334.4834069967788,126.20518390890703
163,3,332.260166619599,133.02873482067213
164,3,332.07422280689605,137.84421519074985
165,3,330.4448504781046,144.62756562519033
166,3,328.2755151264558,147.98842257597684
167,3,331.3223326706428,151.04738237243208
168,3,331.69461850350166,154.55283204324854
169,3,330.06716513292434,157.71242331288343
170,3,329.03206472879833,160.46215163320346
171,3,327.77682058350564,165.76200321617276
172,3,326.9001657981999,170.84332070108954
173,3,326.5316985645933,173.0797946570973
174,3,324.2675464907019,178.05890821835632
175,3,322.65763639289736,180.42658655651522
176,3,321.54072503490715,187.54093189222735
177,3,321.3410381184104,192.7386745452439
178,3,322.30669171166943,201.60117398450342
179,3,322.0553884173203,209.5274524551413
180,3,324.349582898853,214.49723670490093
181,3,323.55301420422774,220.92825187339224
182,3,324.5972982415279,226.77757074647724
183,3,323.95440947708505,230.2274141438315
184,3,326.29863470686354,234.62630505961573
185,3,327.2033353186421,238.41185229303156
186,3,327.4361888576133,246.1717032237506
187,3,328.2810239637713,250.49537706774012
188,3,325.5653753026634,254.7221549636804
189,3,323.72921584891213,257.70312001531295
190,3,322.31698795932374,259.42965874352734
191,3,323.21676226896113,261.44397705544935
192,3,326.19984245288737,266.17027207174453
193,3,326.70887193391764,268.89406646068477
194,3,328.65196046767005,270.6242490795168
195,3,327.01106452364314,272.0927090612625
196,3,326.4526260226973,277.7536949063077
197,3,327.21387283236993,278.91723903434206
198,3,327.0757122414466,281.69864706647587
199,3,328.05201474848565,282.7183961021859
200,3,326.82839394331563,281.5171476640352
201,3,327.4425880733371,287.4763781991114
202,3,331.0325437831309,290.69569885258
203,3,332.707671179125,296.2880125564057
204,3,331.7735920135619,301.9627048408363
205,3,332.13943709732115,308.5521193624958
206,3,332.7721917808219,311.01493150684934
207,3,334.62729095074457,313.56808419243987
208,3,336.2644724237033,316.578623237991
209,3,337.29404855129206,321.77179587575046
210,3,338.01650342144103,330.40037568764257
211,3,340.82055070517123,336.6611820013432
212,3,343.7366309281063,343.5993553903835
213,3,343.3519569120287,348.9300538599641
214,3,344.0418197230856,353.21347838372424
215,3,346.4666758091059,354.5589687328579
216,3,350.8935308998916,354.9582219009758
217,3,349.0051824212272,359.06018518518516
218,3,348.09491099785805,362.7665263313391
219,3,349.0152201351251,365.5407973865914
220,3,350.67844159407366,371.428355854311
221,3,353.5750449370881,376.03609946075494
222,3,356.87863416111446,380.47849788007267
223,3,358.053737021479,387.0101450424031
224,3,359.8389710181241,389.1483337509396
225,3,362.47547773014605,386.93765894063796
226,3,363.91219663008195,384.47294790539496
227,3,364.8965893163059,383.1453044697088
228,3,363.77581662806483,380.31067806085775
229,3,365.47195445920306,380.42056925996206
230,3,366.8328598484849,378.8063446969697
231,3,363.8488446046216,376.47940074906364
232,3,362.7495585638611,372.422160094173
233,3,361.2049703264095,375.2338278931751
234,3,363.0689380787037,375.46245659722223
235,3,365.05208794451823,376.0653681570016
236,3,362.8917472118959,376.3556133828996
237,3,360.42774992627545,375.62253022707165
238,3,359.9107063197026,374.0595539033457
239,3,360.9606802819972,372.84199433098337
240,3,360.1382516119358,374.0814964762333
241,3,360.35879924953093,372.24577861163226
242,3,362.88948425987945,372.0593882563072
243,3,361.5985467756585,371.5853012412958
244,3,362.18832138590204,371.0794504181601
245,3,363.5847557386698,371.36727486756917
246,3,365.5883364485981,372.2376074766355
247,3,365.8592643363034,370.333181022009
248,3,363.81213321596243,368.08348004694835
249,3,362.04287856071966,367.4372563718141
250,3,361.7704816371529,364.5560531936884
251,3,364.175285944846,364.46396744088133
252,3,364.01126654064274,367.8175425330813
253,3,364.395831793659,364.01758923952406
254,3,364.76636469900643,362.0686732904734
255,3,365.78707700877317,358.36533908926333
256,3,365.5189967550027,354.59464575446185
257,3,365.3990431968482,352.07893626002533
258,3,366.18033484676505,350.498510215664
259,3,369.1233669938564,348.8707012216651
260,3,369.855949197861,346.3425802139037
261,3,371.62583658672617,343.9192693809258
262,3,372.6234888903897,339.02741946376716
263,3,373.3502360911517,336.82584000547456
264,3,370.626869537067,336.06500485594046
265,3,367.58960476448294,335.45005414185164
266,3,366.5705128205128,333.81727464974887
267,3,367.7990374609781,331.0952133194589
268,3,365.4009133594906,326.5478227310735
269,3,368.27390718746176,321.54089628994734
270,3,369.47102067607483,317.75661306202824
271,3,371.2381547775731,315.76000263227166
272,3,372.51191427050054,314.8586927582535
273,3,373.4185083713851,310.39902587519026
274,3,372.7838256072125,307.14667294624235
275,3,373.7558571245679,306.2752528485469
276,3,376.93711314681855,304.8377073533053
277,3,376.0874251497006,303.00431137724553
278,3,374.9745081915365,298.56284394964894
279,3,373.82938300637414,296.53864719351446
280,3,376.2144520677283,294.8725372946434
281,3,376.6136904017019,289.6498560880991
282,3,374.9283564118001,283.9966285370259
283,3,371.9372449610486,279.5638679361939
284,3,376.0222623733626,277.02490804671874
285,3,377.1705671124319,272.83878157503716
286,3,377.3535098249826,269.1342642320086
287,3,377.99843116747286,270.55517061053735
288,3,379.56335627249194,268.2181955931561
289,3,381.5844931680966,265.59078487448363
290,3,384.0531563655573,264.70978605388274
291,3,386.65430919166823,263.9780877762915
292,3,389.77128859666084,265.4425320698769
293,3,392.036487236404,265.59399278579355
294,3,394.2828380335103,266.2938012824933
295,3,394.96191595244676,265.5575753386785
296,3,396.29735829018983,262.6638125580778
297,3,392.42141863699584,259.27154116166633
298,3,391.9699490552654,256.79473786032116
299,3,392.97561310709625,253.1314831352614
300,3,394.50814271506715,251.8479612133267
301,3,396.5424683247302,251.20841992357714
302,3,397.3752198691339,253.9613030324351
303,3,397.28799672265467,253.4150621330056
304,3,398.73553777526024,252.42349359201302
305,3,400.89924670433146,253.81696363899755
306,3,399.01798390913393,253.96491109458455
307,3,400.4915844457342,253.9729396401625
308,3,399.6572953736655,252.12
309,3,402.07560260353335,250.62627852084972
310,3,400.50783194261453,248.8153271848924
311,3,398.68834591822196,247.89556916939736
312,3,400.19171869865266,246.45902070325337
313,3,403.50764087870107,241.9835584663665
314,3,405.2717289213207,237.48385232280904
315,3,406.293919928294,236.23020615476545
316,3,406.17206358551664,234.4232410950839
317,3,406.3382986767486,233.3444990548204
318,3,405.0938194753224,231.64821402104639
319,3,403.15153288944174,228.2730665105729
320,3,406.3423113518261,227.34011564078168
321,3,407.57800934243625,227.50370104204097
322,3,403.8371099688699,225.94490697169334
323,3,402.02467184385955,224.1085148787025
324,3,401.5337837837838,221.709009009009
325,3,402.4829679083529,219.6780972612093
326,3,402.92575145805296,218.54830267683565
327,3,406.9053597650514,217.5571953010279
