frame,particle,x,y
0,0,265.34342596433015,11.093737038573206
0,9,446.5015237265999,100.37222464083587
0,33,360.40307134846,410.2344060046588
1,0,265.1188490408674,10.35279399499583
1,43,435.64427767354596,80.83977485928705
1,9,447.0029863481229,100.27943686006826
1,33,359.61899827288426,405.70699481865284
2,0,264.94387067804223,10.04041311180961
2,43,434.0780653372932,82.45439117522274
2,9,446.3422370617696,100.23998330550918
2,33,359.27699168167396,402.754652259669
3,43,435.0138473053892,81.63622754491018
3,9,446.3825136612022,100.10382513661202
3,33,360.01067303863005,400.1338112305854
4,0,265.11258561643837,9.86986301369863
4,43,435.61867088607596,81.42009493670886
4,9,452.1954944635357,87.016418480336
4,33,361.60825358851673,397.32655502392345
5,43,434.8801769199839,81.7708082026538
5,9,446.3319238900634,100.28583509513741
5,33,357.7854834700472,395.8460518684232
6,0,264.9434729564864,9.373729158194388
6,43,434.8159509202454,81.77120173222663
6,9,446.33637747336377,100.32610350076104
6,33,357.86823176033516,391.8921033910363
7,0,264.75922542930215,9.152721958348558
7,43,434.484412470024,81.91915039397054
7,9,446.78422669853194,100.17890064868556
7,33,356.45747578692493,388.4698093220339
8,0,264.82193351165455,10.069545280855941
8,43,435.7776967930029,81.00109329446065
8,9,446.914527027027,100.04155405405406
8,33,354.7115458676731,382.0982823692521
9,0,265.0148550724638,10.116666666666667
9,43,435.77681360638667,81.25893786879556
9,9,447.3871641791045,100.1044776119403
9,33,355.60756986204456,376.74984082065794
10,0,264.87670275934335,10.085225288159274
10,43,434.75042618479375,81.86498465734742
10,9,446.5441935483871,100.61451612903225
10,33,354.39174364896076,370.2022228637413
11,0,264.73501241575025,10.039730400851365
11,43,434.199228340933,82.23886355664679
11,9,446.4483785572469,100.63401720714758
11,33,356.73240058910164,368.82245949926363
12,0,264.8075286415712,9.450409165302784
12,43,433.89032258064515,82.42186379928316
12,9,446.448801036941,100.33927414128321
12,33,357.51465004656495,366.511569596676
13,0,265.1703679151475,10.12794166390454
13,43,435.1695598264104,81.28859268443894
13,9,452.3378083047143,87.46955978769903
13,33,355.9878695431103,363.8563230914506
14,0,264.7929128738622,9.196033810143042
14,43,433.9942176870748,82.55646258503401
14,9,446.3516414141414,100.3080808080808
14,33,355.697210864486,361.3696699766355
15,0,264.98499499833275,10.288096032010671
15,43,435.98015364916773,81.03745198463508
15,9,452.3111455108359,87.06656346749226
15,33,356.75649117773634,359.78489456319033
16,43,434.2461913467398,82.50639853747715
16,9,446.0906808911202,100.6319422654534
16,33,356.72848909016056,355.6132153149444
17,0,264.6857473258167,9.894767273778548
17,43,435.7649230769231,80.83107692307692
17,9,446.01241671714115,100.60478497880072
17,33,354.30007336757154,353.1645434536117
18,43,434.93557336621456,81.68033292231813
18,9,446.2190293742018,100.64495530012772
18,33,351.29532537652744,352.28495311167944
19,43,434.3493436754177,82.16258949880668
19,9,446.20197904540163,100.72235157159488
19,33,349.50581480936256,349.68916531723835
20,43,435.46907369044095,81.40544539804677
20,9,446.071050171393,100.73075724524774
20,33,350.10762641613707,346.75283227410887
21,0,265.08345887315454,11.067188912322989
21,43,434.13656387665196,82.6208516886931
21,9,446.96576879910214,100.00645342312009
21,33,350.78974155595216,344.90766078392494
22,0,265.07597597597595,11.176276276276276
22,43,435.40282783476573,81.77016911560854
22,9,446.5169632925473,100.4535595105673
22,33,353.562253843222,338.3966459153856
23,0,264.91627616369885,10.255545142143081
23,43,434.68912666281085,82.53123192596877
23,9,446.93311931514177,100.23863028357411
23,33,353.6118429896491,333.9583277322221
24,0,264.63300970873786,10.178363384188627
24,43,434.75662778366916,82.31389183457051
24,9,445.5025875190259,100.74520547945205
24,33,353.116823014384,330.21350844277674
25,0,264.722256284488,10.072041692213366
25,43,434.96502433090023,81.74209245742092
25,9,445.4426518040481,100.79671457905545
25,33,350.10985703536494,327.9921335248649
26,0,264.8740973312402,9.392464678178964
26,43,435.6341263330599,80.94011484823626
26,9,446.32441860465116,100.5360465116279
26,33,350.3015369430344,326.27241962774957
27,0,264.9433754810335,10.077789994502474
27,43,434.82599704579025,81.7810930576071
27,9,446.10428646105595,100.73209618400418
27,33,349.6235770789118,324.7576693034922
28,0,264.77045850261175,9.361578641903655
28,43,434.7992489890237,81.81282495667244
28,9,446.0361794500724,100.68104196816208
28,33,348.1648869138423,319.6633282483253
29,43,434.8516972732332,81.68030050083472
29,9,446.22131147540983,100.30983606557378
29,33,348.4264616629577,316.77854204599095
30,0,270.69288110324266,21.7506522549385
30,43,434.8827868852459,81.70300546448087
30,9,445.5974696617609,100.75651949393236
30,33,350.14943738895835,313.68520102651837
31,43,434.32603406326035,82.73884833738849
31,9,446.25553956834534,100.67280575539569
31,33,349.73052354297005,310.7759631215015
32,0,264.8558653340347,9.385323513940032
32,43,435.753280839895,80.89055118110237
32,9,446.4427268119615,100.24683223517486
32,33,350.34213700717413,308.994603517237
33,43,436.0208595124403,80.85976375973863
33,9,446.24831544796604,100.21038183179436
33,33,353.7023484798084,303.88164460115763
34,0,264.935960591133,9.391351943076081
34,43,435.75738724727836,81.0025920165889
34,9,446.4678899082569,100.31242251425738
34,33,354.02945849331394,302.5438236462333
35,0,264.90757995467135,10.290606900025182
35,43,435.0825619214411,81.25243932949712
35,9,446.1923645320197,100.36871921182266
35,33,356.2479535736103,301.6166768478925
36,0,265.13370696557246,10.306111555911396
36,43,434.7619279454722,81.77020447906524
36,9,452.5616921269095,87.15276145710928
36,33,354.06808561378404,296.82829547487034
37,0,264.6654258813225,9.26472520253996
37,43,434.7723577235772,81.76580849141824
37,9,452.55068493150685,87.03082191780823
37,33,352.7892444392822,286.77588710145767
38,43,434.26708229426436,82.11271820448877
38,9,452.4895345973898,87.75178527456292
38,33,351.4068209500609,282.72325149048015
39,43,434.7833967330499,81.82166032669501
39,9,452.92653871608206,86.95521729538936
39,33,348.9535114905561,279.16162797497225
40,0,265.0190550770034,10.141738449490994
40,43,434.7282899537825,81.93456579907566
40,9,446.34650715659046,100.06302072206793
40,33,348.77894467213116,277.40733862704917
41,43,434.28523035230353,81.85749774164408
41,9,446.7821978021978,100.1723076923077
41,33,348.08905755850725,277.7504743833017
42,0,264.7016055045872,9.302522935779816
42,9,447.0727195407187,100.40484796938125
42,33,348.1533329056265,276.43760826329634
43,0,264.6882366535706,9.189276635082043
43,43,435.92679738562094,80.84204793028323
43,9,446.387714663144,100.7752091589608
43,33,347.2000747244536,274.0592813998381
44,0,264.8241206030151,10.069894929191411
44,43,435.75391986062715,80.97321428571429
44,9,446.20032995522035,100.26514258779166
44,33,347.680202411445,273.2839382770038
45,0,264.7219770520741,9.11540158870256
45,43,435.1621621621622,81.1087781996873
45,9,446.1158940397351,100.91545253863134
45,33,348.8870597005653,268.62682487420017
46,0,269.84536384976525,20.204225352112676
46,43,435.16922734357604,81.2939211756847
46,9,445.9951912568306,100.8231693989071
46,33,348.08782780801585,264.21047748639285
47,43,434.7147707979627,81.88497453310696
47,9,446.0670157068063,100.81465968586387
47,33,349.6721610643433,261.7720609878142
48,0,264.63431098696464,9.364292364990689
48,43,434.610151187905,81.99697624190065
48,9,446.5877156943303,100.19186524239934
48,33,349.630706921944,258.55148502700047
49,0,264.6079388664827,9.106983655274888
49,43,434.88110488390714,81.59327461969576
49,9,446.4231532962669,100.42494042891184
49,33,348.2096942502348,254.8160805593238
50,0,265.1189582873538,9.955859633634958
50,43,434.8846235418876,81.85111346765642
50,9,446.31201805529435,100.61500846341922
50,33,348.3591186684229,251.6441743503772
51,43,435.57142857142856,81.09112614405093
51,9,446.55225389124723,100.40933899332929
51,33,348.2624588622473,248.50575928537847
52,0,265.0719341878707,10.077482303424526
52,43,434.8111806098514,81.73182173573105
52,9,446.952515015015,100.62218468468468
52,33,347.01623185300264,245.24267423796005
53,43,435.0954503249768,81.29935004642526
53,9,446.13779756144766,100.86665376427327
53,33,345.76339285714283,242.7886711502783
54,0,264.60766961651916,9.196165191740413
54,43,434.7072817542408,81.82767894083575
54,9,446.5326291965296,100.64956620143342
54,33,344.4135064619865,241.38219768217948
55,0,264.65607371192175,9.384355020684467
55,43,434.83005064715815,82.00562746201463
55,33,342.28477652834067,239.81637079741995
56,0,264.9566731141199,10.219148936170214
56,43,435.07269267364416,81.24605137963844
56,9,446.35936012188154,100.41020757950866
56,33,342.52683941318645,238.9687482434939
57,0,264.61760913612085,9.337447043654448
57,43,434.9393047636564,82.04671693948869
57,9,446.18973810796365,100.40905041867094
57,33,345.45317836289524,236.12250743637765
58,0,264.9909638554217,9.893574297188755
58,43,433.8856412130069,82.73310193642675
58,9,447.10706482155865,100.11744355426075
58,33,347.6754460492778,233.53186066270177
59,0,270.28240989779454,20.807692307692307
59,43,434.6525363604115,81.75895707697765
59,9,446.5844946025515,100.26614327772326
59,33,346.44929000059415,233.20604836313944
60,43,435.58499456324756,81.38999637549837
60,9,452.9300974512744,86.9690779610195
60,33,346.20532829360485,232.28122904346765
61,9,447.0353005068791,100.0001810282404
61,33,346.4060190703218,231.34970202622168
62,0,270.0495968727095,20.942340581480575
62,43,434.19779823136616,82.19238404620104
62,9,446.0742700729927,100.89178832116788
62,33,346.73690607734807,230.93099447513814
63,0,264.81542594013814,10.206830391404452
63,43,434.6838822841551,81.92769440654843
63,33,348.59172105805567,228.9471544715447
64,0,264.6461165952691,10.135220711491897
64,43,434.71552891123577,81.7892090504738
64,33,345.6576486502382,225.84908545550786
65,43,434.2530899410534,82.71629587374025
65,9,446.29909073321727,100.29135229251305
65,33,344.7998017261488,222.33840681128996
66,0,265.01736239379386,10.24214998152937
66,43,435.29272120855404,80.97979203453012
66,9,446.3021844660194,100.43099861303745
66,33,341.95804888791014,218.20832415767453
67,0,264.4804398774112,9.263025058590229
67,43,435.7481494854667,80.6239393392309
67,33,340.4762246644944,217.11912520019882
68,0,264.7142574257426,9.212079207920791
68,43,435.0342037513792,81.74475910261125
68,9,446.10154219372725,100.40270317102755
68,33,337.44893544347036,214.95679152909028
69,43,435.8584483401716,81.02200671391272
69,9,447.0020618556701,100.09165885660731
69,33,338.58134440216764,212.90816326530611
70,0,264.82094792276183,10.13867758923347
70,43,435.73485940879596,81.03082191780823
70,9,446.47334717895467,100.39010038075459
70,33,337.80322824130525,210.8944434767462
71,0,265.29172166698095,10.117292098811994
71,43,434.03739715781603,82.44166043380703
71,9,446.3769019248396,100.3319890009166
71,33,333.77246304600567,209.12052261529092
72,43,434.88642558604397,81.71960748682537
72,9,446.1457399103139,100.77871679889617
72,33,333.8097744777525,207.7406217099795
73,0,265.0,10.08590346750305
73,43,434.263475116239,82.27346306182194
73,9,446.15194412986034,100.36674216685542
73,33,333.5030760626398,207.6362975391499
74,9,446.0848158131177,100.36370170709793
74,33,334.1008734372324,206.55757264371752
75,0,265.1617418351477,10.813374805598755
75,43,434.88153998025666,81.81342546890424
75,9,452.1659058988764,87.13518258426966
75,33,336.4556150361786,204.75786810988882
76,43,434.8029481531684,81.66248729244325
76,9,446.3877103145574,100.33723482077542
76,33,336.75654494860584,201.42364699869384
77,0,270.2719481121149,20.971971276349315
